S.No,Name,CMP Rs,PE,Mar Cap Rs Cr,Div Yld %,NP Qtr Rs Cr,Qtr Profit Var %,Sales Qtr Rs Cr,Qtr Sales Var %,ROCE %
228,Gujarat Fluoroch,3540.00,57.11,38886.91,0.09,179.00,47.93,1210.00,1.85,9.89
229,Jubilant Food.,583.10,128.43,38475.53,0.21,194.60,52.58,2340.15,19.72,13.08
230,Container Corpn.,503.65,29.34,38358.88,1.79,379.98,-3.01,2354.53,2.92,13.87
231,Narayana Hrudaya,1858.00,44.67,37970.23,0.24,258.49,29.64,1643.79,20.28,20.75
232,Physicswallah,132.40,,37862.33,0.00,69.71,62.39,1051.24,26.33,-2.12
233,KEI Industries,3952.00,47.71,37781.30,0.10,203.51,31.46,2726.35,19.38,21.29
234,Astral,1395.80,73.60,37498.18,0.26,134.80,22.55,1577.40,15.11,19.71
235,Indian Renewable,133.35,21.77,37461.19,0.00,549.00,41.59,2056.88,26.22,9.37
236,Ipca Labs.,1474.00,37.79,37395.99,0.28,280.53,41.49,2556.50,8.56,14.72
237,Poonawalla Fin,450.95,168.20,36643.59,0.00,74.20,115.75,1542.30,55.97,4.77
238,Tata Inv.Corpn.,720.50,103.58,36453.96,0.38,148.16,19.78,153.98,8.07,1.21
239,Dalmia BharatLtd,1939.00,32.69,36368.87,0.46,239.00,413.04,3417.00,10.69,5.58
240,UCO Bank,28.92,14.40,36264.40,1.33,619.76,2.82,6537.17,7.55,5.76
241,Endurance Tech.,2573.70,41.45,36202.35,0.38,227.27,11.97,3582.82,23.01,17.26
242,Anthem Bioscienc,643.00,77.99,36111.54,0.00,173.43,7.10,550.03,4.78,28.50
243,Chola Financial,1912.70,16.10,35916.20,0.07,1214.27,4.64,9461.41,16.95,10.57
244,Blue Star,1729.40,66.17,35559.08,0.52,98.78,2.93,2422.37,6.43,26.20
245,Apar Inds.,8802.00,37.62,35356.15,0.56,251.70,29.82,5715.42,23.06,32.70
246,Piramal Finance.,1553.00,56.78,35203.04,0.00,326.99,150.22,2871.55,21.42,7.73
247,Godrej Industrie,1031.70,36.12,34748.14,0.00,492.95,-15.70,5032.14,4.73,7.83
248,Hindustan Copper,359.05,60.57,34720.97,0.41,186.02,82.95,718.04,38.57,23.75
249,AIA Engineering,3699.15,30.65,34520.61,0.42,277.48,8.07,1047.76,0.34,18.92
250,K P R Mill Ltd,978.45,39.93,33444.83,0.51,218.03,6.36,1632.03,10.27,19.84
251,ACC,1780.75,10.24,33440.23,0.42,1119.26,401.44,5931.67,27.99,17.44
252,Apollo Tyres,522.50,25.29,33184.07,0.95,258.05,25.57,6831.09,6.12,11.44
253,Ajanta Pharma,2653.10,34.03,33146.63,1.09,260.19,20.19,1353.73,14.08,32.37
254,Thermax,2778.35,55.72,33105.73,0.49,119.40,-39.27,2473.90,-5.42,16.22
